35.1316 , 0.3808
40.3764 , 0.38686
47.4620 , 0.3930
57.5639 , 0.39949
73.1286 , 0.40612
49.1110 , 0.4023
56.4428 , 0.40605
66.3479 , 0.4098
80.4695 , 0.413
102.2276 , 0.4175
63.0904 , 0.41540
72.5092 , 0.4175
85.2338, 0.4197
103.3750 , 0.42192
131.3266 , 0.4242
34.273 , 0.3952
38.99026 , 0.4012
45.2133, 0.4073
53.8000 , 0.4136
66.4130 , 0.4201
47.922 , 0.4178
54.518 , 0.4215
63.220 , 0.4252
75.226 , 0.4290
92.862 , 0.4329
61.572 , 0.4315
70.0468 , 0.43373
81.226 , 0.43597
96.653 , 0.4382
119.3124 , 0.44045
33.4521 , 0.40913
37.6911, 0.4150
43.1602 , 0.4209
50.4858 , 0.4271
60.8067 , 0.4334
46.7865 , 0.4328
52.7151 , 0.43646
60.36425 , 0.44016
70.6099 , 0.443926
85.0447 , 0.4477
60.1208 , 0.44721
67.7391 , 0.44940
77.56830 , 0.4516
90.73410 , 0.4538
109.2828 , 0.4560
32.4123 , 0.42694
36.0807 , 0.4325
40.6854 , 0.4383
46.6374 , 0.4442
54.6293 , 0.4503
45.3472 , 0.4519
50.4796 , 0.4555
56.9219 , 0.4591
65.2492 , 0.4628
76.4304 , 0.4665
58.2822 , 0.4672
64.8785 , 0.4693
73.1584 , 0.4715
83.8610 , 0.4738
98.2316 , 0.4760
